event,sport,dim_event_key
Swimming Men's 50 metres Freestyle,Swimming,151
Judo Women's Heavyweight,Judo,152
Weightlifting Women's Flyweight,Weightlifting,153
Archery Women's Individual,Archery,154
Weightlifting Women's Lightweight,Weightlifting,155
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,156
Diving Women's Synchronized Platform,Diving,157
Rowing Women's Single Sculls,Rowing,158
Rowing Women's Lightweight Double Sculls,Rowing,159
Swimming Women's 400 metres Individual Medley,Swimming,160
Weightlifting Men's Light-Heavyweight,Weightlifting,161
Swimming Men's 4 x 100 metres Medley Relay,Swimming,162
Swimming Men's 200 metres Breaststroke,Swimming,163
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Shooting,164
"Canoeing Men's Kayak Doubles, 200 metres",Canoeing,165
Swimming Women's 100 metres Butterfly,Swimming,166
Badminton Men's Doubles,Badminton,167
"Shooting Men's Air Pistol, 10 metres",Shooting,168
